Node	Beg	End
NODE_24	1248908	1249932
NODE_24	1254387	1258624
NODE_24	1259700	1263531
NODE_24	1265262	1272526
NODE_24	1274340	1275687
NODE_24	1445158	1448117
NODE_24	1455230	1467390
NODE_24	1498820	1514459
NODE_24	1517505	1521250
NODE_24	1522669	1532734
NODE_24	1555756	1557853
NODE_24	1598450	1600386
NODE_24	1614594	1615886
NODE_24	1640949	1641481
NODE_25	1	8671
NODE_25	10210	12467
NODE_25	14407	15141
NODE_25	20110	31217
NODE_25	32440	34654
NODE_25	58372	58948
NODE_25	73972	75818
NODE_25	252422	254495
NODE_25	257888	258271
NODE_25	259259	259811
NODE_25	261666	262026
NODE_25	491128	502457
NODE_25	504673	507603
NODE_25	531278	533092
NODE_25	573146	576944
NODE_25	578360	578560
NODE_25	580155	581069
NODE_25	785486	791977
NODE_25	868146	871880
NODE_25	980587	986069
NODE_25	987891	998790
NODE_25	1001038	1005307
NODE_25	1268700	1268910
NODE_25	1337132	1338616
NODE_25	1382990	1387037
NODE_25	1455169	1455387
NODE_25	1456539	1466046
NODE_26	1450262	1452985
NODE_26	1454600	1458308
NODE_27	55742	55856
NODE_27	58321	58702
NODE_27	75863	76040
NODE_27	491467	499512
NODE_27	993205	993506
NODE_27	1087116	1088516
NODE_27	1153495	1162368
NODE_27	1163467	1164512
NODE_27	1277339	1281687
NODE_27	1449524	1453196
NODE_27	1454798	1456767
NODE_27	1457700	1458830
NODE_28	1	2280
NODE_28	255910	256189
NODE_28	258157	259946
NODE_28	683494	684312
NODE_28	998724	999174
NODE_28	1001959	1005370
NODE_28	1306032	1308411
NODE_28	1382933	1392155
NODE_28	1632433	1632817
NODE_28	1638061	1641481
NODE_29	1	618
NODE_29	25126	31237
NODE_29	33226	33315
NODE_29	47422	50144
NODE_29	51962	55112
NODE_29	58204	58864
NODE_29	65811	66890
NODE_29	68475	69450
NODE_29	90001	93929
NODE_29	285226	286911
NODE_29	466885	470334
NODE_29	496580	502506
NODE_29	764192	765317
NODE_29	766603	768611
NODE_29	992142	995409
NODE_29	1186520	1193304
NODE_29	1329781	1348233
NODE_29	1382566	1392434
NODE_29	1512289	1514478
NODE_29	1638061	1638770
NODE_29	1639946	1641126
NODE_30	25876	26646
NODE_30	29386	30292
NODE_30	167819	168929
NODE_30	585371	587484
NODE_30	591687	594917
NODE_30	597484	598313
NODE_30	1168143	1169585
NODE_30	1255100	1255694
NODE_30	1257993	1258244
NODE_30	1259629	1260639
NODE_30	1271848	1271968
NODE_30	1273461	1273560
NODE_30	1274946	1275798
NODE_30	1276871	1278532
NODE_31	8848	12467
NODE_31	14421	16617
NODE_31	44878	46162
NODE_31	47044	50122
NODE_31	51887	54884
NODE_31	58138	58948
NODE_31	60628	61376
NODE_31	63625	65351
NODE_31	68475	69450
NODE_31	144382	145907
NODE_31	152280	157759
NODE_31	159160	166958
NODE_31	168125	172552
NODE_31	178054	179038
NODE_31	239099	239777
NODE_31	241339	242131
NODE_31	342546	346752
NODE_31	383728	386789
NODE_31	463382	465055
NODE_31	466693	468440
NODE_31	471413	472259
NODE_31	495902	501090
NODE_31	579043	586759
NODE_31	594742	597290
NODE_31	598670	599271
NODE_31	633808	644566
NODE_31	769130	770177
NODE_31	807503	809171
NODE_31	914833	918138
NODE_31	975993	977662
NODE_31	978818	980533
NODE_31	986285	990582
NODE_31	992142	997812
NODE_31	1031198	1049667
NODE_31	1097922	1099893
NODE_31	1115303	1117637
NODE_31	1153414	1157587
NODE_31	1158580	1162437
NODE_31	1171173	1176064
NODE_31	1185079	1188214
NODE_31	1189531	1192693
NODE_31	1202937	1206603
NODE_31	1216499	1224947
NODE_31	1231511	1241298
NODE_31	1243609	1244316
NODE_31	1246282	1246546
NODE_31	1250778	1253300
NODE_31	1254884	1257763
NODE_31	1260037	1263137
NODE_31	1264860	1270093
NODE_31	1270970	1274930
NODE_31	1342537	1347374
NODE_31	1382543	1389416
NODE_31	1391564	1392155
NODE_31	1394609	1395393
NODE_31	1455164	1455374
NODE_31	1512870	1514478
NODE_31	1621094	1632538
NODE_31	1634413	1634662
NODE_31	1638338	1638954
NODE_31	1640054	1641481
NODE_32	4732	5247
NODE_32	49976	50123
NODE_32	53885	54941
NODE_32	234077	236265
NODE_32	240947	241885
NODE_32	245547	247002
NODE_32	274253	278252
NODE_32	333712	346600
NODE_32	491602	493181
NODE_32	495913	497277
NODE_32	593821	594377
NODE_32	640047	640226
NODE_32	681275	685559
NODE_32	741068	744366
NODE_32	765720	766254
NODE_32	998715	998991
NODE_32	1009260	1010321
NODE_32	1012790	1016448
NODE_32	1186691	1188214
NODE_32	1189531	1191116
NODE_32	1267377	1267599
NODE_32	1268967	1269463
NODE_32	1270711	1270831
NODE_32	1456679	1456686
NODE_32	1457625	1458798
NODE_33	15664	16293
NODE_33	24544	24992
NODE_33	30772	38772
NODE_33	46624	52225
NODE_33	54941	55148
NODE_33	67719	67776
NODE_33	143971	145626
NODE_33	148866	149483
NODE_33	150360	150737
NODE_33	153082	153673
NODE_33	159593	160175
NODE_33	237468	237724
NODE_33	239741	243037
NODE_33	385242	385619
NODE_33	492003	494109
NODE_33	496706	498017
NODE_33	500122	509768
NODE_33	510860	512698
NODE_33	521815	524517
NODE_33	581165	587398
NODE_33	591579	594390
NODE_33	745019	745727
NODE_33	863882	869328
NODE_33	873009	876877
NODE_33	888051	892538
NODE_33	928827	932018
NODE_33	935322	943359
NODE_33	984662	986780
NODE_33	988189	990606
NODE_33	1001771	1002197
NODE_33	1096662	1104045
NODE_33	1163467	1171779
NODE_33	1233238	1234460
NODE_33	1240342	1240834
NODE_33	1243664	1244104
NODE_33	1245886	1246676
NODE_33	1249526	1250698
NODE_33	1254143	1262888
NODE_33	1265450	1274532
NODE_33	1275844	1279882
NODE_33	1342380	1342558
NODE_33	1344859	1345729
NODE_33	1346885	1348263
NODE_33	1379524	1379698
NODE_33	1382256	1383573
NODE_33	1384734	1385326
NODE_33	1386849	1387852
NODE_33	1391870	1392203
NODE_33	1393721	1396035
NODE_33	1440607	1440630
NODE_33	1444945	1445083
NODE_33	1455170	1455385
NODE_33	1546100	1548425
NODE_33	1632580	1632817
NODE_33	1638290	1638977
NODE_33	1639922	1640252
NODE_34	75863	76040
NODE_34	83708	83813
NODE_34	128521	134241
NODE_34	136485	139500
NODE_34	143646	146139
NODE_34	262305	267306
NODE_34	744911	745062
NODE_34	765825	766810
NODE_34	773668	776383
NODE_34	959332	964778
NODE_34	1002629	1002911
NODE_34	1012354	1012851
NODE_34	1163467	1170582
NODE_34	1215689	1220213
NODE_34	1222891	1228368
NODE_34	1229354	1229533
NODE_34	1236817	1238305
NODE_34	1239712	1246643
NODE_34	1267428	1267581
NODE_34	1270510	1270988
NODE_34	1274291	1284583
NODE_34	1334639	1337186
NODE_34	1338372	1347374
NODE_34	1382531	1387082
NODE_34	1524292	1526424
NODE_34	1597095	1597344
NODE_35	1	5222
NODE_35	61286	61576
NODE_35	63625	64799
NODE_35	142338	142842
NODE_35	153082	153673
NODE_35	162758	166558
NODE_35	196636	200018
NODE_35	201319	211822
NODE_35	212951	214021
NODE_35	215134	218522
NODE_35	265083	266502
NODE_35	267938	268346
NODE_35	269663	270506
NODE_35	286284	286991
NODE_35	302006	304264
NODE_35	373633	386859
NODE_35	388540	390013
NODE_35	483917	496164
NODE_35	497261	502786
NODE_35	504037	508831
NODE_35	510860	511538
NODE_35	512658	514391
NODE_35	516236	520395
NODE_35	521726	524421
NODE_35	606208	606321
NODE_35	608997	610072
NODE_35	822612	825850
NODE_35	963466	965525
NODE_35	969602	970429
NODE_35	1008509	1008647
NODE_35	1010060	1010624
NODE_35	1098783	1102640
NODE_35	1189214	1190794
NODE_35	1225097	1227202
NODE_35	1231461	1234306
NODE_35	1240417	1241056
NODE_35	1262349	1263207
NODE_35	1266347	1267518
NODE_35	1269175	1269367
NODE_35	1270970	1271125
NODE_35	1282648	1284817
NODE_35	1297150	1297582
NODE_35	1300870	1303802
NODE_35	1340872	1347281
NODE_35	1382624	1392434
NODE_35	1393721	1396035
NODE_35	1430682	1431779
NODE_35	1467807	1468696
NODE_35	1470925	1471970
NODE_35	1495768	1496508
NODE_35	1628017	1629307
NODE_35	1631699	1632102
NODE_36	1	582
NODE_36	55742	55856
NODE_36	58075	58171
NODE_36	120244	129890
NODE_36	133479	133655
NODE_36	135873	136508
NODE_36	137821	140055
NODE_36	148866	149483
NODE_36	150543	154168
NODE_36	159081	160280
NODE_36	237844	238140
NODE_36	243802	244069
NODE_36	245681	246801
NODE_36	248025	254495
NODE_36	257812	258016
NODE_36	261047	261453
NODE_36	269096	269648
NODE_36	294167	296298
NODE_36	350320	351370
NODE_36	546363	546750
NODE_36	603584	604442
NODE_36	640096	640228
NODE_36	743634	743917
NODE_36	744927	745019
NODE_36	766214	766317
NODE_36	1080165	1080808
NODE_36	1097922	1099893
NODE_36	1155218	1159824
NODE_36	1166698	1169897
NODE_36	1218937	1228069
NODE_36	1236883	1238293
NODE_36	1239835	1245682
NODE_36	1246633	1246669
NODE_36	1267374	1267443
NODE_36	1268659	1269448
NODE_36	1270523	1270967
NODE_36	1275459	1277390
NODE_36	1278661	1284520
NODE_36	1385476	1389416
NODE_36	1559543	1561989
NODE_36	1632580	1632817
NODE_36	1638061	1640078
NODE_37	58321	58702
NODE_37	149045	149354
NODE_37	153082	153673
NODE_37	159009	160175
NODE_37	243076	245015
NODE_37	267414	269797
NODE_37	274491	274842
NODE_37	277670	278013
NODE_37	766161	766312
NODE_37	1002611	1002818
NODE_37	1008509	1008647
NODE_37	1010060	1010513
NODE_37	1274709	1277821
NODE_37	1342537	1344361
NODE_37	1345669	1347350
NODE_37	1382537	1389609
NODE_37	1638332	1640778
NODE_38	41863	42138
NODE_38	55424	58021
NODE_38	68234	69015
NODE_38	142338	143652
NODE_38	208694	218522
NODE_38	238401	238544
NODE_38	265689	267306
NODE_38	269096	269648
NODE_38	466824	467631
NODE_38	492893	493297
NODE_38	495075	497277
NODE_38	499510	501075
NODE_38	603293	604742
NODE_38	684938	687733
NODE_38	766161	766317
NODE_38	837386	839946
NODE_38	842825	843632
NODE_38	986060	995409
NODE_38	1002305	1007768
NODE_38	1011670	1019278
NODE_38	1118377	1119367
NODE_38	1158913	1159953
NODE_38	1168350	1169606
NODE_38	1186793	1192557
NODE_38	1240882	1241812
NODE_38	1260540	1263207
NODE_38	1265798	1267533
NODE_38	1268484	1269397
NODE_38	1271119	1274124
NODE_38	1385862	1385902
NODE_38	1430682	1431779
NODE_38	1455303	1455387
NODE_38	1458811	1467468
NODE_38	1502066	1513770
NODE_38	1517535	1521851
NODE_38	1523794	1529979
NODE_38	1531043	1532181
NODE_39	17239	31462
NODE_39	32440	32970
NODE_39	208802	209977
NODE_39	210931	213889
NODE_39	215074	216518
NODE_39	217961	218841
NODE_39	237817	241135
NODE_39	523771	524369
NODE_39	1256106	1256373
NODE_39	1257640	1257684
NODE_39	1266299	1266344
NODE_39	1271130	1271206
NODE_39	1274244	1274776
NODE_39	1342724	1343873
NODE_39	1346931	1347280
NODE_39	1386642	1387300
NODE_39	1391564	1392155
NODE_39	1394609	1395393
NODE_39	1430741	1431635
NODE_39	1638398	1638975
NODE_39	1639889	1640269
NODE_40	15276	17221
NODE_40	47470	48596
NODE_40	50006	53046
NODE_40	566485	576944
NODE_40	578360	578560
NODE_40	580940	587406
NODE_40	591817	595141
NODE_40	837374	843371
NODE_40	1007600	1011558
NODE_40	1186520	1186613
NODE_40	1191224	1191591
NODE_40	1225109	1227860
NODE_40	1271240	1271317
NODE_40	1388324	1389110
NODE_40	1455231	1455375
NODE_40	1458798	1464672
NODE_40	1466535	1467255
NODE_40	1507080	1513716
NODE_40	1517505	1521226
NODE_40	1639598	1639865
NODE_41	8848	10117
NODE_41	15042	16617
NODE_41	29386	30292
NODE_41	47713	48274
NODE_41	50860	53123
NODE_41	59087	63577
NODE_41	75189	76040
NODE_41	79290	79970
NODE_41	83646	83725
NODE_41	133479	133767
NODE_41	135873	136508
NODE_41	138079	140227
NODE_41	142043	146289
NODE_41	148866	149483
NODE_41	150543	154168
NODE_41	159358	160280
NODE_41	208802	209977
NODE_41	210931	211597
NODE_41	213323	213889
NODE_41	215074	218841
NODE_41	245565	247524
NODE_41	252422	253450
NODE_41	255910	256189
NODE_41	257071	261453
NODE_41	265115	267259
NODE_41	269060	270462
NODE_41	274186	283456
NODE_41	373564	374677
NODE_41	375968	383960
NODE_41	385056	385755
NODE_41	557319	559445
NODE_41	562349	566344
NODE_41	581165	587398
NODE_41	591579	594390
NODE_41	595803	602445
NODE_41	603254	604704
NODE_41	668009	668640
NODE_41	675185	681395
NODE_41	687916	688684
NODE_41	745499	745668
NODE_41	824226	825850
NODE_41	829255	830360
NODE_41	843206	854952
NODE_41	905014	905498
NODE_41	910774	918435
NODE_41	1002785	1004951
NODE_41	1009158	1009424
NODE_41	1082492	1087041
NODE_41	1179617	1180500
NODE_41	1183636	1184470
NODE_41	1185654	1186163
NODE_41	1235612	1235792
NODE_41	1236677	1238199
NODE_41	1240674	1241827
NODE_41	1254917	1263524
NODE_41	1264869	1269403
NODE_41	1270573	1278535
NODE_41	1344718	1347219
NODE_41	1382719	1383780
NODE_41	1385599	1386956
NODE_41	1396987	1397434
NODE_41	1401822	1407677
NODE_41	1430741	1431635
NODE_41	1455178	1455386
NODE_41	1458683	1460081
NODE_41	1495831	1495843
NODE_41	1507122	1514459
NODE_41	1518903	1525869
NODE_41	1597106	1597217
NODE_41	1600529	1602350
NODE_41	1638845	1638954
NODE_42	47176	48516
NODE_42	49962	50132
NODE_42	51959	62107
NODE_42	134265	136547
NODE_42	138020	138235
NODE_42	237848	238821
NODE_42	239672	239777
NODE_42	241378	241885
NODE_42	245547	247887
NODE_42	281248	282936
NODE_42	284714	287796
NODE_42	670164	673898
NODE_42	736856	738183
NODE_42	743826	744797
NODE_42	745688	746816
NODE_42	837386	839946
NODE_42	886395	890200
NODE_42	919387	931625
NODE_42	934472	934959
NODE_42	975993	977662
NODE_42	978818	980533
NODE_42	1002355	1003379
NODE_42	1038454	1048183
NODE_42	1080238	1094579
NODE_42	1095860	1100004
NODE_42	1189214	1190639
NODE_42	1271249	1271296
NODE_42	1273502	1273515
NODE_42	1342537	1347369
NODE_42	1382608	1389553
NODE_42	1391564	1392155
NODE_42	1394609	1395393
NODE_42	1448834	1459659
NODE_42	1461774	1472177
NODE_42	1525994	1526517
NODE_42	1599097	1601145
NODE_42	1639791	1640030
NODE_43	1	414
NODE_43	47123	50123
NODE_43	51886	61981
NODE_43	63502	69438
NODE_43	97033	100275
NODE_43	136737	138394
NODE_43	233906	239867
NODE_43	240947	251782
NODE_43	281158	283454
NODE_43	522831	526361
NODE_43	597607	597818
NODE_43	679967	680714
NODE_43	732025	743760
NODE_43	825971	829166
NODE_43	830423	843104
NODE_43	1000376	1004196
NODE_43	1005119	1005370
NODE_43	1059749	1068574
NODE_43	1097922	1099893
NODE_43	1172429	1180251
NODE_43	1181754	1187000
NODE_43	1188546	1192758
NODE_43	1259698	1260923
NODE_43	1333445	1347374
NODE_43	1382570	1401717
NODE_43	1455296	1455321
NODE_43	1492926	1493168
NODE_43	1525958	1529979
NODE_43	1531106	1533654
NODE_43	1599457	1600267
NODE_43	1602154	1602319
NODE_43	1632580	1632817
NODE_43	1640423	1641030
